id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
163,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",23-05-2022 04:00:00,PM2.5,47,192,99,NA
164,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",23-05-2022 04:00:00,PM10,133,167,149,NA
165,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",23-05-2022 04:00:00,NO2,6,19,11,NA
166,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",23-05-2022 04:00:00,NH3,1,2,2,NA
167,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",23-05-2022 04:00:00,SO2,10,15,12,NA
168,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",23-05-2022 04:00:00,CO,14,47,30,NA
169,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",23-05-2022 04:00:00,OZONE,14,53,36,NA
170,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",23-05-2022 04:00:00,PM2.5,68,184,111,NA
171,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",23-05-2022 04:00:00,PM10,105,198,147,NA
172,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",23-05-2022 04:00:00,NO2,19,54,27,NA
173,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",23-05-2022 04:00:00,NH3,2,3,3,NA
174,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",23-05-2022 04:00:00,SO2,6,18,11,NA
175,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",23-05-2022 04:00:00,CO,17,38,28,NA
176,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",23-05-2022 04:00:00,OZONE,17,67,45,NA
177,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",23-05-2022 04:00:00,PM2.5,42,187,88,NA
178,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",23-05-2022 04:00:00,NO2,106,132,116,NA
179,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",23-05-2022 04:00:00,CO,64,86,79,NA
180,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",23-05-2022 04:00:00,OZONE,3,37,11,NA
181,India,Bihar,Patna,"Muradpur, Patna - BSPCB",23-05-2022 04:00:00,PM2.5,38,124,78,NA
182,India,Bihar,Patna,"Muradpur, Patna - BSPCB",23-05-2022 04:00:00,PM10,96,170,132,NA
183,India,Bihar,Patna,"Muradpur, Patna - BSPCB",23-05-2022 04:00:00,NO2,9,76,15,NA
184,India,Bihar,Patna,"Muradpur, Patna - BSPCB",23-05-2022 04:00:00,NH3,3,5,4,NA
185,India,Bihar,Patna,"Muradpur, Patna - BSPCB",23-05-2022 04:00:00,SO2,1,7,2,NA
186,India,Bihar,Patna,"Muradpur, Patna - BSPCB",23-05-2022 04:00:00,CO,35,73,54,NA
187,India,Bihar,Patna,"Muradpur, Patna - BSPCB",23-05-2022 04:00:00,OZONE,19,141,98,NA
188,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",23-05-2022 04:00:00,PM2.5,48,159,92,NA
189,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",23-05-2022 04:00:00,PM10,74,128,104,NA
190,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",23-05-2022 04:00:00,NO2,19,33,25,NA
191,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",23-05-2022 04:00:00,NH3,5,5,5,NA
192,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",23-05-2022 04:00:00,SO2,12,16,14,NA
193,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",23-05-2022 04:00:00,CO,10,33,30,NA
194,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",23-05-2022 04:00:00,OZONE,38,113,86,NA
195,India,Bihar,Patna,"Samanpura, Patna - BSPCB",23-05-2022 04:00:00,PM2.5,23,93,56,NA
196,India,Bihar,Patna,"Samanpura, Patna - BSPCB",23-05-2022 04:00:00,PM10,62,105,85,NA
197,India,Bihar,Patna,"Samanpura, Patna - BSPCB",23-05-2022 04:00:00,NO2,16,21,18,NA
198,India,Bihar,Patna,"Samanpura, Patna - BSPCB",23-05-2022 04:00:00,NH3,1,2,2,NA
199,India,Bihar,Patna,"Samanpura, Patna - BSPCB",23-05-2022 04:00:00,SO2,8,24,14,NA
200,India,Bihar,Patna,"Samanpura, Patna - BSPCB",23-05-2022 04:00:00,CO,68,79,75,NA
201,India,Bihar,Patna,"Samanpura, Patna - BSPCB",23-05-2022 04:00:00,OZONE,116,116,116,NA
202,India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",23-05-2022 04:00:00,PM2.5,NA,NA,NA,NA
203,India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",23-05-2022 04:00:00,PM10,NA,NA,NA,NA
204,India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",23-05-2022 04:00:00,NO2,NA,NA,NA,NA
